"items in your cart","Items en tu carrito"
"Add to cart","Agregar al carrito",module,Codazon_GoogleAmpManager
Thumbnail,Miniatura,module,Codazon_GoogleAmpManager
Edit,Editar,module,Codazon_GoogleAmpManager
Delete,Eliminar,module,Codazon_GoogleAmpManager
"Delete ""${ $.$data.title }""","Eliminar ""${ $.$data.title }""",module,Codazon_GoogleAmpManager
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","¿Estás seguro de que querés eliminar el registro ""${ $.$data.title }""?",module,Codazon_GoogleAmpManager
"Search entire store here ...","Buscá en toda la tienda aquí...",module,Codazon_GoogleAmpManager
Submit,Enviar,module,Codazon_GoogleAmpManager
"Open search pop up","Abrir buscador",module,Codazon_GoogleAmpManager
"Your cart","Tu carrito",module,Codazon_GoogleAmpManager
items,productos,module,Codazon_GoogleAmpManager
item,producto,module,Codazon_GoogleAmpManager
"View Cart ","Ver carrito",module,Codazon_GoogleAmpManager
"You have no items in your shopping cart.","No tenés productos en tu carrito.",module,Codazon_GoogleAmpManager
Remove,Quitar,module,Codazon_GoogleAmpManager
"See Details","Ver detalles",module,Codazon_GoogleAmpManager
"Your cart was updated.","Tu carrito fue actualizado.",module,Codazon_GoogleAmpManager
Qty,Cant.,module,Codazon_GoogleAmpManager
Update,Actualizar,module,Codazon_GoogleAmpManager
"Cart Subtotal","Subtotal del carrito",module,Codazon_GoogleAmpManager
"Go to Checkout","Finalizar compra",module,Codazon_GoogleAmpManager
"Go to top","Ir arriba",module,Codazon_GoogleAmpManager
"Items %1 to %2 of %3 total","Productos %1 al %2 de %3 en total",module,Codazon_GoogleAmpManager
"%1 Item","%1 Producto",module,Codazon_GoogleAmpManager
"%1 Item(s)","%1 Producto(s)",module,Codazon_GoogleAmpManager
Page,Página,module,Codazon_GoogleAmpManager
Previous,Anterior,module,Codazon_GoogleAmpManager
Next,Siguiente,module,Codazon_GoogleAmpManager
Show,Mostrar,module,Codazon_GoogleAmpManager
"per page","por página",module,Codazon_GoogleAmpManager
"Sign Up for Our Newsletter","Suscribite a nuestro Newsletter",module,Codazon_GoogleAmpManager
"Enter your email address","Ingresá tu correo electrónico",module,Codazon_GoogleAmpManager
Subscribe,Suscribirme,module,Codazon_GoogleAmpManager
"Shop by Category","Comprar por categoría",module,Codazon_GoogleAmpManager
"Now Shopping by","Estás comprando por",module,Codazon_GoogleAmpManager
"Remove This Item","Quitar este producto",module,Codazon_GoogleAmpManager
"Clear All","Limpiar todo",module,Codazon_GoogleAmpManager
"Open filters list","Abrir lista de filtros",module,Codazon_GoogleAmpManager
"Change Condition","Cambiar condición",module,Codazon_GoogleAmpManager
"Filter by","Filtrar por",module,Codazon_GoogleAmpManager
"Clear all filters","Limpiar todos los filtros",module,Codazon_GoogleAmpManager
