"Se intentó agregar al carrito el producto ID: %1, SKU: %2, Tipo: %3, con price: %4 y final_price: %5 (<= 0).","Se intentó agregar al carrito el producto ID: %1, SKU: %2, Tipo: %3, con price: %4 y final_price: %5 (<= 0).",module,Custom_ValidPriceZero
"Payment Verification complete.","Payment Verification complete.",module,DrubuNet_Bancard
"Rollback complete.","Rollback complete.",module,DrubuNet_Bancard
"Cannot create an invoice.","Cannot create an invoice.",module,DrubuNet_Bancard
"Cannot create an invoice without products.","Cannot create an invoice without products.",module,DrubuNet_Bancard
Redirect,Redirect,module,DrubuNet_Bancard
Staging,Staging,module,DrubuNet_Bancard
Production,Production,module,DrubuNet_Bancard
"Bancard Check","Bancard Check",module,DrubuNet_Bancard
"Bancard Rollback","Bancard Rollback",module,DrubuNet_Bancard
"Order #","Order #",module,DrubuNet_Bancard
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping.",module,DrubuNet_Bancard
"Your order number is: %1.","Your order number is: %1.",module,DrubuNet_Bancard
"Your order # is: <span>%1</span>.","Your order # is: <span>%1</span>.",module,DrubuNet_Bancard
"We'll email you an order confirmation with details and tracking info.","We'll email you an order confirmation with details and tracking info.",module,DrubuNet_Bancard
"Continue Shopping","Continue Shopping",module,DrubuNet_Bancard
Default,Default,module,MageBig_AjaxFilter
"Multiple Select","Multiple Select",module,MageBig_AjaxFilter
"Rating - Up","Rating - Up",module,MageBig_AjaxFilter
"Rating - Interval","Rating - Interval",module,MageBig_AjaxFilter
"%1 stars","%1 stars",module,MageBig_AjaxFilter
"%1 star","%1 star",module,MageBig_AjaxFilter
"from %1 stars","from %1 stars",module,MageBig_AjaxFilter
"from %1 star","from %1 star",module,MageBig_AjaxFilter
Rating,Rating,module,MageBig_AjaxFilter
"Filter Style","Filter Style",module,MageBig_AjaxFilter
"Now Shopping by","Now Shopping by",module,MageBig_AjaxFilter
Previous,Previous,module,MageBig_AjaxFilter
Remove,Remove,module,MageBig_AjaxFilter
x,x,module,MageBig_AjaxFilter
"Shop By","Shop By",module,MageBig_AjaxFilter
"Clear All","Clear All",module,MageBig_AjaxFilter
"Shopping Options","Shopping Options",module,MageBig_AjaxFilter
"& up","& up",module,MageBig_AjaxFilter
"Apply filter","Apply filter",module,MageBig_AjaxFilter
OK,OK,module,MageBig_AjaxFilter
Products,Products,module,MageBig_AjaxSearch
